datetime,country,shape,duration_seconds
2011-10-11 19:42:00,us,circle,1800.0
2011-10-11 21:00:00,us,,300.0
2011-10-11 21:10:00,us,circle,30.0
2011-10-11 23:23:00,us,unknown,480.0
2012-10-11 01:00:00,us,unknown,4.0
2012-10-11 02:45:00,us,sphere,3600.0
2012-10-11 04:00:00,us,light,2.0
2012-10-11 07:00:00,,disk,120.0
2012-10-11 08:00:00,us,cigar,7200.0
2012-10-11 19:30:00,us,light,300.0
2012-10-11 19:30:00,us,fireball,720.0
2012-10-11 19:45:00,us,circle,300.0
2012-10-11 20:00:00,us,diamond,60.0
2012-10-11 20:30:00,us,fireball,120.0
2012-10-11 20:42:00,us,triangle,10.0
2012-10-11 21:00:00,us,diamond,60.0
2012-10-11 21:01:00,us,sphere,30.0
2012-10-11 22:15:00,us,circle,45.0
2013-10-11 01:00:00,us,chevron,4.0
2013-10-11 03:00:00,ca,cylinder,3600.0
2013-10-11 06:13:00,us,circle,120.0
2013-10-11 09:05:00,us,light,15.0
2013-10-11 16:01:00,ca,circle,300.0
2013-10-11 16:35:00,us,fireball,600.0
2013-10-11 19:00:00,us,unknown,240.0
2013-10-11 19:20:00,,fireball,600.0
2013-10-11 19:50:00,us,light,60.0
2013-10-11 20:00:00,us,circle,300.0
2013-10-11 20:00:00,us,fireball,240.0
2013-10-11 20:00:00,us,light,7200.0
2013-10-11 20:15:00,,light,300.0
2013-10-11 20:15:00,us,fireball,60.0
2013-10-11 20:15:00,us,fireball,300.0
2013-10-11 20:20:00,us,fireball,60.0
2013-10-11 20:45:00,us,light,300.0
2013-10-11 21:00:00,us,sphere,180.0
2013-10-11 21:00:00,us,chevron,90.0
2013-10-11 22:00:00,us,light,900.0
2013-10-11 22:00:00,us,sphere,300.0
2013-10-11 22:08:00,us,sphere,60.0
2013-10-11 22:10:00,us,formation,60.0
2013-10-11 22:18:00,ca,light,300.0
2013-10-11 23:00:00,us,fireball,10.0
2013-10-11 23:15:00,us,fireball,2.0
1950-10-01 11:00:00,us,disk,600.0
1952-10-01 03:30:00,,disk,1200.0
1952-10-01 12:00:00,us,disk,90.0
1954-10-01 19:00:00,us,circle,60.0
1955-10-01 22:00:00,,circle,5.0
1956-10-01 19:00:00,us,rectangle,300.0
1957-10-01 16:00:00,us,unknown,180.0
1957-10-01 21:00:00,us,disk,10.0
1957-10-01 22:00:00,,,900.0
1959-10-01 19:00:00,us,unknown,60.0
1961-10-01 03:00:00,us,sphere,180.0
1961-10-01 03:30:00,us,disk,120.0
1961-10-01 19:00:00,us,disk,1800.0
1961-10-01 22:00:00,us,triangle,30.0
